ds,yhat,yhat_lower,yhat_upper
2024-06-29,8570.899319965649,1907.4050524970583,15266.259173473843
2024-06-30,9735.216315664296,3190.8850581454817,16440.709555499277
2024-07-01,8615.013676017643,1961.9678167997515,15143.947323560762
2024-07-02,8013.410546409303,1404.1365641847683,15073.137659905364
2024-07-03,8107.206160813196,900.0409970266832,14458.132386510615
2024-07-04,8416.072904274244,1706.2513359254058,15255.915887839623
2024-07-05,7852.678601817599,1377.2257005393801,15080.764977422563
2024-07-07,9419.994856211557,2892.528651165812,16522.1058825365
2024-07-08,8319.304407982529,1428.9565912876155,15137.630780213272
2024-07-09,7740.569841309145,757.8628704777766,14436.026563509047
2024-07-10,7859.111145122524,985.2840085802535,14461.06283177768
2024-07-11,8193.170277019844,1535.1606077390668,14926.566699987965
2024-07-12,7654.079551077146,1281.2827641498661,14262.723071548719
2024-07-13,8064.618347220112,1338.8982978436507,14833.479119684978
2024-07-14,9262.715747941598,2351.561894706331,15824.020946543276
2024-07-15,8177.195700607004,1520.876046107984,15215.2890487424
2024-07-16,7609.104413174327,831.3320047439939,14173.164223523145
2024-07-17,7733.410844771826,696.9092652457472,14446.000576143815
2024-07-18,8068.255991696772,1490.180120804245,14269.801592144418
2024-07-19,7525.120364430888,854.7359772435534,14212.661630954899
2024-07-20,7927.171637902968,1342.2034212837427,15099.62909366636
2024-07-21,9112.950434367907,2396.692451689767,15896.725216460167
2024-07-22,8012.091418641199,1203.2873572261335,14808.774312029185
2024-07-23,7426.620205034669,544.3585956860342,14597.997709745716
2024-07-24,7532.617913856996,1010.663641532751,14554.941388588279
2024-07-25,7849.430210780995,1138.5671148916556,14319.073458038674
2024-07-26,7289.791479249681,630.9477203519201,13910.198197859672
2024-07-27,7678.127447869084,1063.9478268117393,14540.154590882585
2024-07-28,8854.195617465211,1926.9558482260074,15417.089128432637
2024-07-29,7748.762058116754,1208.1371143309661,14565.452751966704
2024-07-30,7164.856430752277,69.34974360125155,13471.057108550518
2024-08-01,7612.3731054091495,1082.036034325215,14387.958999400158
2024-08-02,7076.928372658353,128.2655580949215,13593.392512796201
2024-08-03,7497.656158796567,827.9919679978781,14363.28034216594
2024-08-04,8714.219906418202,2471.7361515234543,15472.424944940763
2024-08-05,7657.025805293909,335.75234485480127,14576.48593200779
2024-08-06,7128.480358092166,231.97466064654873,13573.57387794209
2024-08-07,7304.6272929668985,735.6768982087615,14401.47832533743
2024-08-08,7704.341564604709,1104.079281321463,14641.181100848404
2024-08-09,7239.451632295506,689.473158633422,14339.38481310338
2024-08-10,7733.053489396881,737.9311956560127,14439.204768654557
2024-08-11,9023.175553412777,2260.6169171155193,15950.829177986809
2024-08-12,8038.49236892478,1204.2105634662998,14502.981472552996
2024-08-13,7579.6279965948925,780.9872268403274,14215.186924287227
2024-08-14,7820.840890767037,915.6909632370064,14229.03664538248
2024-08-15,8279.266654937188,1673.5990271038443,15167.395844931676
2024-08-16,7865.088486060528,1134.0281972873474,14776.788917964237
2024-08-17,8399.897418961187,1991.0361838161816,15074.77092368023
2024-08-18,9720.400168439313,3006.561215130549,16701.566379591564
2024-08-19,8754.171300143173,2226.6183742416574,15626.913803626338
2024-08-20,8300.989505929929,2041.0873619258252,14828.426687046382
2024-08-21,8534.548843701281,1526.8624576548868,15603.296490438206
2024-08-22,8971.720569704088,2230.325073242067,15486.765506173992
2024-08-23,8522.734815376254,1917.5501307132288,15498.86723529125
2024-08-24,9009.543879033761,2615.9293004631004,15688.003344959327
2024-08-25,10269.524816113017,3642.227038705295,17120.53394093977
2024-08-26,9231.218175080094,2789.251429572127,15600.60078288629
2024-08-27,8695.642997120605,1972.060483686561,15439.044476819861
2024-08-28,8837.979498240204,1605.8047341233078,15360.171164788087
2024-08-29,9176.795820807907,2835.4631518971205,15749.826252865927
2024-08-30,8624.189044312268,2054.53291911503,15024.204586608614
2024-08-31,9004.103315659095,2457.6273757227495,16209.797056354639
2024-09-01,10155.98399429817,3163.4429411982783,17091.912239988313
2024-09-02,9010.465958604413,2344.5642940091793,15429.714678568478
2024-09-03,8370.637542301332,1234.16473456946,15076.43629135871
2024-09-04,8413.672884246187,1488.6623151718804,15403.008956740676
2024-09-05,8660.010419462329,2117.691226577959,15485.132738709675
2024-09-06,8023.448981109262,1409.8110629940195,15052.630582004796
2024-09-07,8329.425558429892,1705.6511023739647,15248.111168179186
2024-09-08,9418.634661978482,2620.3661100333493,16029.96443475714
2024-09-09,8222.68834256764,942.1770880564926,15070.444092795597
2024-09-10,7545.3590522574195,241.22231735017579,14045.817682152767
2024-09-11,7564.198650705177,1252.6053279222322,14340.614803398526
2024-09-12,7799.711592438578,1312.4239170939877,14384.033994049576
2024-09-13,7165.453852740664,-279.35380281689663,13236.32256096592
2024-09-14,7486.321503770507,428.8102291012035,14699.208990649844
2024-09-15,8602.188543684315,2150.488574186694,15421.881824956214
2024-09-17,6813.009052089059,-334.396521261998,13288.07188153461
2024-09-18,6886.5086710250325,-299.6063986838602,13462.076303133103
2024-09-19,7182.971256657571,800.2992316143354,13781.746362722248
2024-09-20,6614.230175556425,-696.0252594750798,13394.759326931922
2024-09-21,7003.407769403304,770.9669813659344,14455.130084244594
2024-09-22,8188.600855759461,1507.8569537524324,14616.379242199195
2024-09-23,7098.613394950405,-42.30830525008837,13389.748523640777
2024-09-24,6534.2765063154875,-72.07792358181031,12997.699151888904
2024-09-25,6670.147027266501,59.70394077814094,13547.395195671812
2024-09-26,7023.7604940128,160.72377491565794,13928.776401058505
2024-09-27,6505.807957859701,-475.9659510456142,13674.361625695032
2024-09-28,6938.498475958358,392.7299760978185,13676.318207852073
2024-09-29,8159.26493372339,1806.8290481357978,15286.025666504318
2024-09-30,7096.509925041565,344.855182243332,13567.386526146434
2024-10-01,6550.931595724884,237.9572511769061,13153.16426936455
2024-10-02,6697.2205699372225,-256.54560486096517,13186.158596931115
